Initializing camera...
Camera initialized
Attempting to start camera capture feed...
Camera capture started successfully
Marker A1: [352, 184], 2017-06-27 19:34:22.075962
Marker A6: [320, 409], 2017-06-27 19:34:22.125173
Marker A5: [581, 410], 2017-06-27 19:34:22.125495
Marker A4: [104, 336], 2017-06-27 19:34:22.125721
Marker A3: [403, 318], 2017-06-27 19:34:22.125913
Marker A2: [258, 277], 2017-06-27 19:34:22.126117
Marker A1: [349, 184], 2017-06-27 19:34:22.126307
Marker A6: [317, 411], 2017-06-27 19:34:22.161258
Marker A5: [577, 413], 2017-06-27 19:34:22.161503
Marker A4: [101, 338], 2017-06-27 19:34:22.161628
Marker A3: [399, 321], 2017-06-27 19:34:22.161731
Marker A2: [255, 280], 2017-06-27 19:34:22.161838
Marker A1: [346, 187], 2017-06-27 19:34:22.161945
Marker A6: [319, 416], 2017-06-27 19:34:22.194619
